Date,Category,UAH,Payment method
2023-11-02,General Donations,50.0,PayPal
2023-11-02,General Donations,5.65,PayPal
2023-11-02,General Donations,20.0,PayPal
2023-11-02,General Donations,3000.0,PayPal
2023-11-02,General Donations,51.99,PayPal
2023-11-02,General Donations,51.99,PayPal
2023-11-02,General Donations,50.0,PayPal
2023-11-02,General Donations,26.25,PayPal
2023-11-02,General Donations,31.11,PayPal
2023-11-02,1000 Drones For Ukraine,51.52,PayPal
2023-11-02,General Donations,51.52,PayPal
2023-11-02,General Donations,50.0,PayPal
2023-11-02,General Donations,10.0,PayPal
2023-11-02,General Donations,102.53,PayPal
2023-11-02,General Donations,215.78,PayPal
2023-11-02,General Donations,200.0,PayPal
2023-11-02,General Donations,26.01,PayPal
2023-11-02,1000 Drones For Ukraine,102.53,PayPal
2023-11-02,General Donations,400.0,PayPal
2023-11-02,Flight To Recovery,10.7,PayPal
2023-11-02,General Donations,22.22,PayPal
2023-11-02,General Donations,100.0,PayPal
2023-11-02,General Donations,51.52,PayPal
2023-11-02,General Donations,103.48,PayPal
2023-11-02,General Donations,20.0,PayPal
2023-11-02,Victory Drones,3.59,PayPal
2023-11-02,General Donations,18.87,PayPal
2023-11-02,General Donations,15.95,PayPal
2023-11-02,1000 Drones For Ukraine,102.53,PayPal
2023-11-02,1000 Drones For Ukraine,306.59,PayPal
2023-11-02,1000 Drones For Ukraine,100.0,PayPal
2023-11-02,General Donations,25.0,PayPal
2023-11-02,General Donations,40.0,PayPal
2023-11-02,General Donations,51.52,PayPal
2023-11-02,1000 Drones For Ukraine,163.75,PayPal
2023-11-02,1000 Drones For Ukraine,20.0,PayPal
2023-11-02,General Donations,20.0,PayPal
2023-11-02,General Donations,40.4,PayPal
2023-11-02,General Donations,49.93,PayPal
2023-11-02,General Donations,650.0,PayPal
2023-11-02,General Donations,21.1,PayPal
2023-11-02,General Donations,10.8,PayPal
2023-11-02,General Donations,51.52,PayPal
2023-11-02,General Donations,36.21,PayPal
2023-11-02,General Donations,10.0,PayPal
2023-11-02,General Donations,10.0,PayPal
2023-11-02,General Donations,72.0,PayPal
2023-11-02,General Donations,102.53,PayPal
2023-11-02,General Donations,100.0,PayPal
2023-11-02,General Donations,24.99,PayPal
2023-11-02,General Donations,51.99,PayPal
2023-11-02,General Donations,30.0,PayPal
2023-11-02,General Donations,26.25,PayPal
2023-11-02,General Donations,306.59,PayPal
2023-11-02,1000 Drones For Ukraine,100.0,PayPal
2023-11-02,General Donations,21.1,PayPal
2023-11-02,1000 Drones For Ukraine,204.56,PayPal
2023-11-02,General Donations,102.53,PayPal
